	chao1
797.12.HD.Tongue	177.25
797.29.HC.Tongue	156.055555556
797.68.HC.Tongue	77.25
797.63.HC.Tongue	135.461538462
797.63.HD.Tongue	197.875
797.62.HA.Tongue	183.315789474
797.56.HA.Tongue	165.052631579
797.61.HD.Tongue	148.75
797.54.HD.Tongue	173.583333333
797.71.HB.Tongue	144.0
797.66.HA.Tongue	209.476190476
797.49.HC.Tongue	148.0
797.50.HB.Tongue	142.5
797.61.HC.Tongue	219.5
797.61.HA.Tongue	163.5
797.764.Stool	136.545454545
797.1282.Tongue	111.4
797.1075.Tongue	199.928571429
797.1053.Tongue	89.0
797.1020.Stool	183.066666667
797.1253.Tongue	124.5
797.27.CA.Tongue	136.375
797.59.HB.RightPalm	364.588235294
797.63.HD.LeftPalm	478.022222222
797.06.CA.Tongue	312.130434783
797.52.CA.Tongue	212.137931034
797.1053.RightPalm	529.962264151
797.71.HA.Forehead	179.526315789
797.06.CB.Stool	190.928571429
797.50.CB.Stool	131.0
797.71.CA.Stool	137.583333333
797.30.CA.Stool	124.363636364
797.53.CA.Stool	194.25
797.50.CA.Stool	190.545454545
797.46.CB.Stool	166.285714286
797.46.CA.Stool	182.928571429
797.48.CA.Stool	163.0
797.53.CB.Stool	136.0625
797.52.CB.Stool	126.058823529
797.64.CA.Stool	172.5
797.71.CB.Stool	174.12
797.57.CA.Tongue	228.142857143
797.52.CA.Stool	199.666666667
797.06.CA.Stool	141.9375
797.26.CA.Tongue	158.789473684
797.30.CA.Tongue	231.454545455
797.45.CA.Tongue	285.0
797.66.CB.Forehead	171.066666667
797.05.HB.Forehead	222.121212121
797.26.HB.Stool	295.136363636
797.61.HD.Stool	239.588235294
797.41.HA.Stool	125.0
797.03.CA.Stool	123.461538462
797.49.CB.Stool	70.0
797.07.CA.Stool	159.111111111
797.66.CB.Stool	172.833333333
797.45.CA.Stool	60.2307692308
797.17.CA.Stool	106.0
797.17.CB.Stool	96.65
797.31.CA.Tongue	225.5
797.31.CA.Stool	133.583333333
797.18.CC.Stool	120.0
797.07.CB.Stool	169.0
797.26.CA.Stool	88.0909090909
797.57.CA.Stool	128.066666667
797.35.HA.Tongue	175.0
797.56.HB.Tongue	185.363636364
797.59.HB.Tongue	124.0
797.05.HC.Forehead	71.4285714286
797.06.HB.Forehead	262.0625
797.13.HB.Forehead	212.0
797.03.CA.Forehead	351.833333333
797.03.HB.LeftPalm	317.75
797.25.HB.Forehead	195.076923077
797.35.HB.Stool	289.772727273
797.63.HA.Stool	114.5
797.66.CA.Forehead	250.038461538
797.55.HC.Tongue	197.0
797.05.HC.Tongue	182.857142857
797.02.HB.Tongue	205.571428571
797.41.HE.Tongue	180.5
797.30.HA.Tongue	190.875
797.30.HB.Tongue	133.4
797.19.HB.Tongue	178.125
797.63.HA.Tongue	186.571428571
797.56.HC.Tongue	145.0625
797.53.HA.Tongue	162.666666667
797.54.HA.Tongue	195.045454545
797.64.HB.Tongue	138.0
797.71.HA.Tongue	156.375
797.59.HD.Tongue	162.666666667
797.62.HE.Tongue	160.375
797.66.HB.Tongue	173.214285714
797.12.HD.Forehead	139.882352941
797.13.HA.Forehead	116.555555556
797.71.CB.Tongue	267.333333333
797.53.CA.Tongue	345.243243243
797.21.HB.Stool	94.2142857143
797.71.CA.Tongue	171.0
797.18.CA.Tongue	196.105263158
797.49.CB.Tongue	304.4
797.66.CB.Tongue	175.076923077
797.03.CA.Tongue	101.0
797.52.HB.Tongue	138.0
797.22.HC.Stool	86.0
797.12.HB.Stool	144.0
797.50.HA.Tongue	193.666666667
797.59.HC.Tongue	134.0
797.64.CA.Tongue	153.090909091
797.18.CB.Tongue	146.055555556
797.1265.Tongue	114.25
797.21.HA.Forehead	250.333333333
797.71.HC.Tongue	122.235294118
797.23.HA.Tongue	133.545454545
797.1148.Stool	129.25
797.71.HB.Stool	239.857142857
797.49.HB.Tongue	92.75
